iter	Passed	Remaining
0	24	24747
1	46	23325
2	61	20453
3	83	20804
4	96	19230
5	118	19602
6	140	19939
7	167	20758
8	199	22019
9	231	22967
10	259	23364
11	284	23424
12	306	23265
13	328	23141
14	352	23114
15	377	23202
16	406	23506
17	430	23473
18	453	23420
19	476	23358
20	500	23344
21	525	23378
22	544	23124
23	561	22845
24	593	23145
25	619	23219
26	644	23216
27	663	23050
28	690	23120
29	714	23105
30	740	23138
31	761	23036
32	787	23078
33	813	23124
34	843	23254
35	883	23663
36	920	23966
37	941	23841
38	976	24051
39	988	23728
40	1014	23720
41	1037	23656
42	1060	23591
43	1082	23511
44	1109	23555
45	1137	23581
46	1166	23653
47	1192	23653
48	1219	23664
49	1250	23758
50	1274	23712
51	1304	23791
52	1334	23853
53	1362	23872
54	1388	23860
55	1407	23724
56	1421	23514
57	1445	23483
58	1471	23467
59	1493	23396
60	1522	23438
61	1580	23909
62	1607	23907
63	1633	23884
64	1656	23823
65	1692	23946
66	1730	24094
67	1765	24192
68	1788	24134
69	1815	24113
70	1838	24051
71	1861	23997
72	1884	23927
73	1906	23858
74	1933	23848
75	1967	23926
76	2002	24004
77	2039	24103
78	2074	24187
79	2091	24054
80	2114	23994
81	2154	24123
82	2166	23939
83	2185	23830
84	2216	23858
85	2249	23912
86	2278	23907
87	2317	24013
88	2357	24132
89	2392	24189
90	2438	24355
91	2485	24534
92	2525	24626
93	2556	24637
94	2600	24776
95	2638	24849
96	2675	24905
97	2699	24847
98	2744	24979
99	2780	25025
100	2815	25059
101	2852	25117
102	2894	25205
103	2920	25160
104	2962	25251
105	3009	25381
106	3029	25285
107	3055	25234
108	3089	25253
109	3114	25203
110	3141	25161
111	3157	25036
112	3171	24898
113	3198	24859
114	3228	24844
115	3260	24850
116	3288	24818
117	3318	24801
118	3346	24773
119	3380	24789
120	3409	24771
121	3441	24770
122	3479	24806
123	3510	24798
124	3533	24735
125	3556	24672
126	3579	24606
127	3594	24489
128	3616	24418
129	3629	24289
130	3657	24262
131	3681	24209
132	3709	24180
133	3742	24188
134	3766	24136
135	3791	24088
136	3817	24049
137	3847	24030
138	3872	23986
139	3898	23944
140	3924	23910
141	3942	23824
142	3975	23822
143	4000	23783
144	4027	23747
145	4053	23710
146	4091	23740
147	4120	23721
148	4143	23667
149	4172	23642
150	4198	23605
151	4222	23557
152	4247	23511
153	4265	23432
154	4297	23429
155	4329	23424
156	4358	23401
157	4389	23390
158	4418	23369
159	4451	23372
160	4482	23358
161	4510	23332
162	4537	23301
163	4566	23275
164	4593	23246
165	4622	23222
166	4650	23199
167	4684	23201
168	4714	23184
169	4746	23176
170	4772	23137
171	4795	23087
172	4824	23061
173	4852	23034
174	4888	23044
175	4919	23032
176	4945	22995
177	4974	22973
178	4992	22900
179	5018	22862
180	5050	22852
181	5083	22847
182	5119	22855
183	5156	22866
184	5193	22881
185	5224	22865
186	5253	22841
187	5271	22766
188	5298	22734
189	5315	22658
190	5328	22567
191	5350	22518
192	5366	22437
193	5388	22386
194	5407	22323
195	5482	22487
196	5527	22530
197	5563	22534
198	5603	22555
199	5637	22550
200	5666	22526
201	5707	22547
202	5762	22625
203	5797	22620
204	5823	22582
205	5856	22573
206	5887	22553
207	5919	22539
208	5944	22497
209	5981	22502
210	6021	22516
211	6055	22506
212	6080	22465
213	6119	22476
214	6156	22478
215	6207	22530
216	6251	22558
217	6284	22544
218	6323	22552
219	6352	22521
220	6368	22446
221	6401	22434
222	6415	22352
223	6450	22347
224	6479	22319
225	6500	22261
226	6532	22243
227	6559	22209
228	6581	22159
229	6604	22109
230	6627	22062
231	6655	22032
232	6678	21983
233	6696	21920
234	6709	21839
235	6731	21791
236	6753	21741
237	6775	21691
238	6797	21643
239	6819	21595
240	6847	21566
241	6872	21525
242	6892	21470
243	6915	21427
244	6947	21409
245	6978	21389
246	7009	21369
247	7029	21315
248	7065	21310
249	7096	21289
250	7106	21207
251	7131	21168
252	7147	21102
253	7170	21058
254	7193	21016
255	7222	20990
256	7247	20953
257	7271	20913
258	7287	20849
259	7312	20811
260	7335	20769
261	7357	20723
262	7382	20687
263	7410	20659
264	7435	20623
265	7453	20567
266	7465	20495
267	7477	20424
268	7502	20388
269	7539	20384
270	7568	20360
271	7604	20354
272	7627	20312
273	7647	20262
274	7673	20229
275	7696	20189
276	7720	20151
277	7737	20094
278	7759	20053
279	7788	20026
280	7806	19973
281	7828	19931
282	7850	19889
283	7865	19828
284	7877	19762
285	7899	19720
286	7910	19653
287	7933	19613
288	7955	19571
289	7981	19542
290	8003	19501
291	8027	19464
292	8042	19406
293	8064	19365
294	8084	19321
295	8109	19286
296	8123	19228
297	8145	19188
298	8173	19162
299	8195	19123
300	8217	19083
301	8240	19044
302	8260	19002
303	8282	18961
304	8303	18922
305	8325	18882
306	8353	18856
307	8375	18818
308	8388	18759
309	8403	18704
310	8421	18656
311	8440	18611
312	8468	18587
313	8485	18539
314	8504	18493
315	8536	18477
316	8560	18444
317	8584	18410
318	8600	18360
319	8621	18321
320	8645	18287
321	8676	18270
322	8703	18242
323	8738	18233
324	8765	18205
325	8794	18182
326	8823	18159
327	8850	18133
328	8866	18083
329	8889	18048
330	8906	18001
331	8933	17973
332	8953	17933
333	8977	17901
334	9006	17878
335	9029	17843
336	9053	17810
337	9076	17777
338	9099	17742
339	9127	17717
340	9156	17694
341	9183	17668
342	9206	17635
343	9222	17587
344	9244	17551
345	9268	17518
346	9296	17495
347	9320	17461
348	9344	17430
349	9368	17399
350	9392	17366
351	9404	17313
352	9427	17279
353	9442	17231
354	9466	17199
355	9490	17168
356	9515	17138
357	9528	17087
358	9554	17059
359	9589	17048
360	9615	17020
361	9646	17001
362	9669	16969
363	9699	16947
364	9724	16918
365	9747	16884
366	9769	16849
367	9796	16823
368	9825	16801
369	9838	16751
